"","gene","colors"
"TMPRSS4","TMPRSS4","grey"
"TNNC1","TNNC1","grey"
"TOM1L1","TOM1L1","grey"
"TOP2A","TOP2A","blue"
"TOX3","TOX3","grey"
"TPBG","TPBG","grey"
"TPD52","TPD52","grey"
"TREM1","TREM1","grey"
"TUBB6","TUBB6","grey"
"TUFT1","TUFT1","grey"
"TXNDC17","TXNDC17","grey"
"UBASH3A","UBASH3A","grey"
"UBE2C","UBE2C","blue"
"UBE2T","UBE2T","blue"
"UGT8","UGT8","grey"
"VAMP5","VAMP5","grey"
"VSIG2","VSIG2","grey"
"VSIG4","VSIG4","grey"
"WARS","WARS","grey"
"WIF1","WIF1","grey"
"WISP2","WISP2","grey"
"XKRX","XKRX","grey"
"XPR1","XPR1","grey"
"ZEB2","ZEB2","grey"
"ZNF750","ZNF750","grey"
